,tconst,titleType,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes
10922,tt3792960,movie,The Brand New Testament,2015,114,"Comedy,Fantasy",7.1,33051
10923,tt3793788,movie,The Escort,2015,88,"Comedy,Drama,Romance",6.0,13518
10924,tt3794354,movie,Sonic the Hedgehog,2020,99,"Action,Adventure,Comedy",6.5,139189
10925,tt3797512,movie,Barb and Star Go to Vista Del Mar,2021,107,Comedy,6.3,17933
10926,tt3797868,movie,The Choice,2016,111,"Drama,Romance",6.5,41009
10927,tt3799232,movie,The Kissing Booth,2018,105,"Comedy,Romance",5.9,84535
10928,tt3799372,movie,6 Years,2015,79,"Drama,Romance",5.5,12717
10929,tt3799694,movie,The Nice Guys,2016,116,"Action,Comedy,Crime",7.3,327118
10930,tt3801314,movie,Kaththi,2014,166,"Action,Drama",8.0,27186
10931,tt3802576,movie,Brothers,2015,156,"Action,Drama,Sport",6.4,13214
10932,tt3808342,movie,Son of Saul,2015,107,"Drama,War",7.4,49110
10933,tt3810760,movie,Minimalism: A Documentary About the Important Things,2015,78,Documentary,6.6,16158
10934,tt3811906,movie,Malignant,2021,111,"Crime,Horror,Mystery",6.2,89756
10935,tt3813310,movie,Cop Car,2015,88,"Crime,Thriller",6.3,33758
10936,tt3819668,movie,"Dragon Ball Z: Resurrection ""F""",2015,93,"Action,Adventure,Animation",7.2,22577
10939,tt3824458,movie,Tangerine,2015,88,"Comedy,Crime,Drama",7.1,32630
10940,tt3824648,movie,Big Time Adolescence,2019,91,"Comedy,Drama",6.9,13753
10941,tt3825638,movie,Labyrinth of Lies,2014,124,"Drama,History",7.3,13317
10942,tt3829266,movie,The Predator,2018,107,"Action,Adventure,Sci-Fi",5.3,134106
10944,tt3829920,movie,Only the Brave,2017,134,"Action,Biography,Drama",7.6,70125
10945,tt3830162,movie,A War,2015,115,"Crime,Drama,Thriller",7.0,10737
10947,tt3832096,movie,Cabin Fever,2016,99,"Horror,Sci-Fi,Thriller",3.7,10278
10948,tt3832914,movie,War Room,2015,120,Drama,6.4,15124
10949,tt3833480,movie,The Outpost,2019,123,"Action,Drama,History",6.8,34854
10950,tt3835080,movie,31,2016,102,"Horror,Thriller",5.1,21266
10951,tt3836512,movie,Ratter,2015,80,"Drama,Horror,Thriller",5.1,13133
10953,tt3838992,movie,Yoga Hosers,2016,88,"Action,Comedy,Horror",4.2,14300
10954,tt3839880,movie,Infinity Chamber,2016,103,"Sci-Fi,Thriller",6.2,10732
10955,tt3841424,movie,Land of Mine,2015,100,"Drama,History,War",7.8,41587
10957,tt3844362,movie,The Overnight,2015,79,"Comedy,Mystery",6.1,17079
10963,tt3846674,movie,To All the Boys I've Loved Before,2018,99,"Comedy,Drama,Romance",7.0,108016
10964,tt3848892,movie,Baby,2015,159,"Action,Crime,Thriller",7.9,58009
10965,tt3850214,movie,Dope,2015,103,"Adventure,Comedy,Crime",7.2,85739
10966,tt3850590,movie,Krampus,2015,98,"Comedy,Drama,Fantasy",6.2,73354
